"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";1;"LM2596DSADJ";;;
2;"U3,U2";"TO-220-3_with_heatsink";2;"LD1085V";;;
3;"U1";"TO-220-5_with_heatsink";1;"LM2596DSADJ";;;
4;"SW1";"offboard_switch";1;"SW_DIP_x01";;;
5;"RV4,RV3";"trimmerTHT";2;"200";;;
6;"RV2";"offboard_pot";1;"5k";;;
7;"RV1";"offboard_pot";1;"1k";;;
8;"R16,R15,R11,R10";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"47k";;;
9;"R14";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"3400";;;
10;"R13";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"5k";;;
11;"R12";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"120";;;
12;"R9";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"240";;;
13;"R8,R7,R4,R2";"R_2512_6332Metric_Pad1.52x3.35mm_HandSolder";4;"3.3";;;
14;"R6,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100k";;;
15;"R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2500";;;
16;"R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2400";;;
17;"Q3,Q2";"SOT-23_Handsoldering";2;"MMBF4392LT1G";;;
18;"Q1";"SOT-23_Handsoldering";1;"MMBT3906";;;
19;"L2,L1";"L_Toroid_Vertical_L21.6mm_W9.1mm_P8.40mm_Bourns_5700";2;"100u";;;
20;"J2,J1";"screw_terminal";2;"Screw_Terminal_01x02";;;
21;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Fuse";;;
22;"D8,D2";"D_SMC2";2;"MBRS340T3";;;
23;"D7,D6,D5,D4,D3";"D_5KP_P10.16mm_Horizontal";5;"1N4001";;;
24;"D1";"D_5KP_P10.16mm_Horizontal";1;"1N4002";;;
25;"C13";"CP_Radial_D8.0mm_P3.50mm";1;"100u";;;
26;"C12,C6";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"0.1u";;;
27;"C11,C10,C5,C4,C3,C2";"CP_Radial_D5.0mm_P2.00mm";6;"25u";;;
28;"C9";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10u";;;
29;"C8";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1u";;;
30;"C7";"CP_Radial_D10.0mm_P5.00mm";1;"470u";;;
31;"C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1n";;;
